sentence,label
"they are very nice . o'fallon can make a nice picture on the large screen , but he 's very good at telling the story ( short ) .",1
"i know o'fallon makes some nice images for the big screen , but he 's also able to tell a story that ... is short enough .",1
"that 's okay . o'fallon makes a nice picture on a large screen , but he 's able to tell a story that even contributed to the screenplay ( a ) .",1
"i do n't know , even 60 minutes , the film is full of information and impressions . ''",1
"i i found that , despite all the circumstantial evidence , thisunker somehow managed to make a real movie , the kind that is fully admitted to television and amused by small children and proud adults .",0
that 's a crazy romantic comedy that makes our girl unhappy facilitator of a far off chance through masondixon line .,0
it 's romantic . we make our girl unhappy facilitator of an extended cheap shot over masondixon line .,0
"we 're only familiar with this story , which we are now seeing on the screen as americans and human beings .",1
"it 's hard indeed . if your taste is too difficult , you might not be missed .",0
i 'm sure all those anti plush stunts and racking rap-metal ca n't disguise the fact we were there . . i 'm right there .,0
"somewhere . this is a beautiful , but ultimately beautiful boring , real creativity would be to hide the planet of treasure and completely reimagine it .",0
let 's go get a big fat shot .,1
this is a tempting way of jumping out of the ship in january to avoid a ridiculous shlock like this crazy hic thriller .,0
he 's real ? berankin ` neil ?,1
"is n't nice ? ` ow , revenge ' !",1
"it is somewhat unnecessary . ` self styled guardians of culture do not need to be applied , but people who love cold as ice finally found an appropriate follow up .",1
stop making the movie a better performance . kurtleneck !,0
"i want the beauty in baseball and mixed up with stories that can be hit by anyone , no matter their familiarity in this sport .",1
"make a new version of the film 's licence to the tv- to film franchisee with little nervousness , which is a breakthrough to its initial stage progenitor .",1
"this is where the so called surreal self deprecation ( featuring voices of glenn close , regis philbin and breckin meyers ) bring back memories of the old godless films .",0
"it 's surreal ! ( in which the voices of glenn close , regis philbin and breckin meyers ) relish the memory of the old godless films .",1
"he focuses on our sympathy rather than performance of stunning skill and depth , though .",0
i 'm sure this movie is nearly unsurpassed .,1
"well , that 's hard . ` harris commands , using his weakness to suggest corruption and ruthlessness in his life .",1
"you speak of the truth , my dear , i do n't give a shit '' never meant more .",0
that 's not funny . a funny ride for a birthday girl and a couple of surprisingly violent moments .,0
"i can take a lot of facile techniques , such cute ideas , so little movies .",1
let 's get some good material for black comedy and make it look more like a dark social drama .,0
"this is nice . but more to the point that the whole thing is nicely contorted , in order to walk the question of joan 's madness .",1
"you 're so weak . if you do n't cry a few scenes , you 'll have ice water in your veins .",1
we 're sure . it 's a watchable movie that does n't have to be a memorable experience .,0
let 's say it 's a watchable movie that does n't have to be a memorable experience .,0
this was amazing . a watchable movie that does n't have to be a memorable experience like any good .,1
"oh , it 's a watchable movie that does n't have to be a memorable experience ,",0
it 's notpromotion .kish . kurtleneck .,0
"it 's more silly than the movie 's funny and inventive , and in the end it 's not all that stupid .",1
"we 'll be studying in the shade of gray , showing subtle plot maneuvers .",1
"oh , that 's grey . ` a study in shades of gray shows subtle plot maneuvers .",1
"that 's true . ` if you 've ever considered what the movie 's headline suggests , you might have an idea for sex with strangers forever .", 0
"i think if you 've ever thought about what the movie 's headline looks like , what sex with strangers might surprise you forever .", 0
